,Date,vendors,Debit,Credit,account
363,2024-03-04,WALMART,12.09,0.0,chequing
364,2024-03-04,MCDONALD'S,11.73,0.0,chequing
365,2024-03-04,WALMART,3.15,0.0,chequing
366,2024-03-04,MCDONALD'S,1.33,0.0,chequing
367,2024-03-04,UBER,19.19,0.0,chequing
368,2024-03-04,ULTRAMAR,3.38,0.0,chequing
369,2024-03-04,WALMART,35.88,0.0,chequing
370,2024-03-04,MCDONALD'S,1.88,0.0,chequing
371,2024-03-04,UBER Refund,0.0,17.68,chequing
372,2024-03-04,UBER,17.68,0.0,chequing
373,2024-03-04,UBER,17.68,0.0,chequing
374,2024-03-04,Home Rent,500.0,0.0,chequing
375,2024-03-04,Vending Machine,2.75,0.0,chequing
376,2024-03-01,UBER,7.04,0.0,chequing
377,2024-03-01,Remitly Transaction,251.41,0.0,chequing
378,2024-03-01,Walmart Paycheque,0.0,681.62,chequing
379,2024-03-01,Siddharth,0.0,15.0,chequing
380,2024-02-29,Service Charge Discount,0.0,16.95,chequing
381,2024-02-29,Service Charge,16.95,0.0,chequing
383,2024-02-29,WALMART,2.09,0.0,chequing
384,2024-02-29,MCDONALD'S,1.67,0.0,chequing
385,2024-02-29,UBER,19.21,0.0,chequing
386,2024-02-29,ChatGPT,31.53,0.0,chequing
387,2024-02-28,WALMART,25.32,0.0,chequing
388,2024-02-28,WALMART,9.56,0.0,chequing
389,2024-02-28,MCDONALD'S,1.67,0.0,chequing
390,2024-02-28,UBER,18.09,0.0,chequing
391,2024-02-28,UBER,13.88,0.0,chequing
392,2024-02-27,MISC,3.5,0.0,chequing
393,2024-02-27,MISC,5.5,0.0,chequing
394,2024-02-27,MISC,3.5,0.0,chequing
395,2024-02-26,WALMART,9.36,0.0,chequing
396,2024-02-26,WALMART,14.22,0.0,chequing
397,2024-02-26,UBER,20.1,0.0,chequing
399,2024-02-26,Value Village,20.88,0.0,chequing
400,2024-02-26,WALMART,11.47,0.0,chequing
401,2024-02-26,WENDY'S,10.84,0.0,chequing
403,2024-02-23,UBER Eats,18.61,0.0,chequing
404,2024-02-23,Tim Hortons,4.66,0.0,chequing
405,2024-02-23,MCDONALD'S,8.69,0.0,chequing
406,2024-02-23,UBER,20.18,0.0,chequing
407,2024-02-23,GM Paycheque,0.0,748.26,chequing
408,2024-02-22,UBER Refund,0.0,1.14,chequing
409,2024-02-22,MCDONALD'S,8.11,0.0,chequing
410,2024-02-22,MCDONALD'S,1.67,0.0,chequing
411,2024-02-22,UBER,19.7,0.0,chequing
412,2024-02-22,UBER,1.14,0.0,chequing
413,2024-02-22,No Frills,18.35,0.0,chequing
414,2024-02-21,WENDY'S,10.39,0.0,chequing
415,2024-02-21,MCDONALD'S,4.19,0.0,chequing
416,2024-02-21,WALMART,4.14,0.0,chequing
417,2024-02-20,Tim Hortons,1.92,0.0,chequing
418,2024-02-20,Mary Jane's,23.87,0.0,chequing
419,2024-02-20,Smoothie UOIT,3.67,0.0,chequing
420,2024-02-20,SHELL,20.0,0.0,chequing
421,2024-02-20,No Frills,19.52,0.0,chequing
422,2024-02-20,UBER,40.44,0.0,chequing
423,2024-02-16,Vending Machine,2.75,0.0,chequing
424,2024-02-16,Vending Machine,2.75,0.0,chequing
425,2024-02-16,Vending Machine,2.75,0.0,chequing
426,2024-02-16,UBER Refund,0.0,7.63,chequing
427,2024-02-16,UBER,7.66,0.0,chequing
428,2024-02-16,UBER,7.63,0.0,chequing
429,2024-02-16,Walmart Paycheque,0.0,404.23,chequing
430,2024-02-15,Vending Machine,2.75,0.0,chequing
431,2024-02-15,PICOCOOLER,8.15,0.0,chequing
432,2024-02-15,Vending Machine,2.75,0.0,chequing
433,2024-02-15,Vending Machine,2.75,0.0,chequing
434,2024-02-15,UBER,7.54,0.0,chequing
435,2024-02-14,Tim Hortons,1.92,0.0,chequing
436,2024-02-14,WALMART,47.02,0.0,chequing
437,2024-02-14,WALMART,3.58,0.0,chequing
438,2024-02-14,MCDONALD'S,0.32,0.0,chequing
439,2024-02-13,Vending Machine,2.75,0.0,chequing
440,2024-02-13,Vending Machine,2.75,0.0,chequing
441,2024-02-13,PICOCOOLER,7.06,0.0,chequing
442,2024-02-13,UBER,7.69,0.0,chequing
443,2024-02-12,Tim Hortons,1.92,0.0,chequing
444,2024-02-12,ADARIA,5.1,0.0,chequing
445,2024-02-12,ADARIA,8.79,0.0,chequing
446,2024-02-12,Vending Machine,2.75,0.0,chequing
447,2024-02-12,York Cinemas,9.33,0.0,chequing
448,2024-02-12,MCDONALD'S,12.63,0.0,chequing
449,2024-02-12,MCDONALD'S,1.67,0.0,chequing
450,2024-02-12,WALMART,4.97,0.0,chequing
451,2024-02-12,MCDONALD'S,8.46,0.0,chequing
452,2024-02-12,MCDONALD'S,1.67,0.0,chequing
453,2024-02-12,UBER,19.56,0.0,chequing
454,2024-02-09,Vending Machine,3.0,0.0,chequing
455,2024-02-09,Tim Hortons,2.51,0.0,chequing
456,2024-02-09,Presto,4.35,0.0,chequing
457,2024-02-09,No Frills,35.56,0.0,chequing
458,2024-02-08,Tim Hortons,11.52,0.0,chequing
459,2024-02-08,Value Village,27.66,0.0,chequing
